Id,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,fixed acidity
36,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6,7.8
37,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7,8.1
40,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,7.3
41,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,8.8
42,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6,7.5
43,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5,8.1
45,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4,4.6
46,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5,7.7
50,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5,8.8
51,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6,6.6
52,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6,6.6
53,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5,8.6
54,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6,7.6
56,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,10.2
58,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5,7.8
59,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6,7.3
60,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5,8.8
61,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5,7.7
63,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5,7
64,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,7.2
65,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,7.2
67,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5,6.6
69,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6,8
72,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,7.7
73,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4,8.3
76,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,8.8
77,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6,6.8
78,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5,6.7
79,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4,8.3
80,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,6.2
82,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5,7.4
84,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6,6.3
85,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5,6.9
86,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,8.6
87,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,7.7
88,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5,9.3
89,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5,7
90,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5,7.9
91,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,8.6
93,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,7.7
94,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4,5
96,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5,6.8
98,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,7.6
99,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,8.1
100,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6,8.3
102,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,8.1
103,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,8.1
104,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5,7.2
105,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,8.1
106,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5,7.8
107,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5,6.2
110,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,7.8
111,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5,8.4
113,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6,10.1
114,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,7.8
115,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6,9.4
116,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6,8.3
120,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5,7.3
121,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,8.8
122,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5,7.3
124,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5,7.8
126,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5,8.2
127,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5,8.1
128,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7,8
130,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5,8
131,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,5.6
134,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6,7.9
135,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,8.4
137,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5,7.2
140,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,8.4
142,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,5.2
143,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5,6.3
144,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,5.2
145,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5,8.1
146,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,5,5.8
148,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6,6.9
150,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6,7.3
151,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4,9.2
152,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,7.5
153,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,7.5
155,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,7.1
156,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,7.1
157,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,7.1
158,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5,7.1
159,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6,6.8
160,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,5,7.6
161,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4,7.6
162,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,6,7.8
163,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,5,7.4
164,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5,7.3
165,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5,7.8
166,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,5,6.8
167,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4,7.3
168,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6,6.8
170,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4,7.9
172,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,8
173,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6,7.4
175,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5,6.9
176,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,7.3
177,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6,7.5
178,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5,7
179,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,8.8
180,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,8.8
181,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5,8.9
182,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5,7.2
183,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5,6.8
184,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6,6.7
185,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5,8.9
186,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5,7.4
188,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,5,7.9
190,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,5,8.2
191,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6,6.4
193,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,7.6
194,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,7.6
196,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5,7.3
197,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6,11.5
199,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4,6.9
200,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,7,9.6
204,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,6,7
205,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7,12.8
206,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7,12.8
208,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5,7.8
210,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6,9.7
211,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,6,8
213,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,5,8.2
214,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,6,7.8
215,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5,7
216,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,5,8.7
217,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,5,8.1
218,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,5,7.5
220,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6,7.8
221,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5,7.4
222,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5,6.8
223,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6,8.6
225,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6,7.7
226,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6,8.9
230,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7,5.2
231,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6,8
232,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,6,8.5
234,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6,8.2
235,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,7.2
240,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,5,8.9
241,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6,12
242,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6,7.7
243,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7,15
244,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7,15
245,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6,7.3
246,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,5,7.1
249,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6,7.3
250,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,6,10.8
251,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6,7.1
252,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,5,11.1
253,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,5,7.7
255,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5,8
256,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,5,9.4
257,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5,6.6
258,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,5,7.7
259,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7,10
260,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,5,7.9
261,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4,7
262,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5,8
263,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5,7.9
264,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5,12.5
266,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4,8.1
267,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8,7.9
268,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,6.9
269,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,11.5
270,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,7.9
275,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,7.9
276,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,6.9
277,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,11.5
278,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8,10.3
279,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7,8.9
280,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6,11.4
281,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7,7.7
283,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7,8.9
284,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5,9.9
285,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5,9.9
286,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,6,12
287,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,6,7.5
288,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7,8.7
289,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5,11.6
290,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7,8.7
292,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,6,10.4
293,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,6,6.9
294,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,6,13.3
295,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5,10.8
296,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,5,10.6
297,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,5,7.1
298,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,5,7.2
300,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,6,7.5
301,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,6,11.1
302,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,5,8.3
304,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,5,8.4
306,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,5,7.6
307,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6,10.3
308,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,6,10.3
311,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,6,7.9
312,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,6,9
313,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,5,8.6
314,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5,7.4
318,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7,9.8
319,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6,9.6
321,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,5,9.3
324,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6,10
325,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6,10
326,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,7,11.6
327,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5,10.3
328,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,6,13.4
333,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,5,8.4
334,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7,7.9
335,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,7,11.9
336,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,6,8.9
337,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,5,7.8
339,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,7,12.5
342,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,10.9
343,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,10.9
344,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,6,11.9
347,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,6,13.8
348,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,6,9.6
351,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6,9.1
352,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5,7.7
353,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,5,13.5
354,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6,6.1
355,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6,6.7
356,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,5,11.5
357,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,7,10.5
358,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,7,11.9
359,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,6,12.6
360,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,5,8.2
361,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,6,8.6
362,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,5,11.9
363,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,5,12.5
364,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7,12.8
366,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7,12.8
367,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,5,10.4
369,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,9.4
371,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,6,7.9
372,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,6,9.1
376,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,6,11.5
377,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,9.4
378,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,6,11.4
380,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,8.3
384,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,5,7.7
388,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,6,7.8
390,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8,5.6
391,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6,13.7
392,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5,9.5
395,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7,12
396,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5,6.6
397,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6,11.5
399,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,5,8.7
400,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5,6.6
402,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,6,12.2
403,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,6,11.4
404,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,5,7.7
406,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,6,9.8
407,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7,12
409,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,4,12.5
410,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,6,9
412,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,5,7.1
413,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,7,9.9
414,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,5,8.8
415,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,5,8.6
416,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,6,10.6
417,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,5,7
418,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,6,11.9
419,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,5,6.8
421,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,6.6
422,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5,7.7
423,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7,10.5
425,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,6.6
426,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,6,6.4
427,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,6,9.5
428,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,5,9.1
429,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,6,12.8
430,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7,10.5
431,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,5,7.8
433,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5,12.3
434,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6,10.4
435,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5,12.3
436,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,6,8
437,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,6,11.1
439,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,5,7
440,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8,12.6
442,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,7,15.6
444,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7,5.3
446,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,5,12.5
447,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,5,9.3
